name,honorific,title,category,profile_url
Aulia Pradipta,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/aulia-pradipta
Aurélie Leribaux,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/aurelie-leribaux
Catherine Hills,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/catherine-hills
Chen Luo,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/chen-luo
David Eccles,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/david-eccles
Davor Petreski,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/davor-petreski
Deanna Coralage,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/deanna-coralage
Dilang Tan,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/dilang-tan
Fang Sun,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/fang-sun
Farnaz Pirasteh,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/farnaz-pirasteh
Goran Khursheed,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/goran-khursheed
Guanyu Wang,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/guanyu-wang
Hanan Alkhammash,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/hanan-alkhammash
Hani Arab,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/hani-arab
Heidi Peart,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/heidi-peart
Herman Wahidin,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/herman-wahidin
Hootan Zhian,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/hootan-zhian
Hui Rao,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/hui-rao
Jeremy Lindsay,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/jeremy-lindsay
Jian Li,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/jian-li
Jiawei Tong,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/jiawei-tong
John Paul Cruz,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/john-paul-cruz
Kejian Cui,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/kejian-cui
Martin Chesbrough,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/martin-chesbrough
Maryam Alshehri,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/maryam-alshehri
Mazino Onibere,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/mazino-onibere
Md (Aktar) Aktaruzzaman,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/md-aktar-aktaruzzaman
Mingxin Zhang,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/mingxin-zhang
Mohammad Ariful Islam,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/mohammad-ariful-islam
Mohammed Alsubaie,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/mohammed-alsubaie
Muku Akasaka,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/muku-akasaka
Nataliia (Natasha) Tashevtseva,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/nataliia-natasha-tashevtseva
Nick Howard,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/nick-howard
Nimra Akram,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/nimra-akram
Noushin Nazarian,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/noushin-nazarian
Pengfei Yin,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/pengfei-yin
Qianyi Li,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/qianyi-li
Qingtan Shen,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/qingtan-shen
Rahmat Fadhli,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/rahmat-fadhli
Raif Al Bedewi,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/raif-al-bedewi
Rashika Bahl,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/rashika-bahl
Sam Pitruzello,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/sam-pitruzzello
Sarah Alzahrani,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/sarah-alzahrani
Scott Ainslie,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/scott-ainslie
Suhail Najeeb,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/suhail-najeeb
Thakshila Dilrukshi,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/thakshila-dilrukshi
Tian Li,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/tian-li
Timothy Kariotis,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/timothy-kariotis
Victoria Sonnemans,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/victoria-sonnemans
Wenjun Zhou,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/wenjun-zhou
Xiaojun Xu,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/xiaojun-xu
Xinyu He,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/xinyu-he
Xunye Tian,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/xunye-tian
Yaru Liu,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/yaru-liu
Yolanda Chintanu,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/yolanda-chintanu
Yong Zhu,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/yong-zhu
Zitong Wang,,,Information systems,https://cis.unimelb.edu.au/people/graduate-researchers/information-systems/zitong-wang
Steven Baker,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/779540
Kasun Bandara,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/884517
Zhifeng Bao,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/806696
Daniel Beck,Dr,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/672197
Jim Bezdek,Prof,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/22301
Joseph Bonneau,Prof,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/864577
Rachelle Bosua,Dr,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/18252
George Buchanan,A/Prof,Honorary fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/793596
Chris Culnane,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/780936
Partha De,Mr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/822948
Frank Dignum,A/Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/5489
"A/Prof
                            Virginia Dignum",,Honorary Professorial Fellow,Honorary staff,N/A
Tilman Dingler,Dr,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/814587
Paul Dourish,Prof,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/605138
Hong Jia,Dr,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/1071577
Qiuhong Ke,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/861653
Ryan Kelly,Dr,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/813635
Jarrod Knibbe,Dr,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/860467
Daniel Ma,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/776741
Dana McKay,Dr,Honorary Senior Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/778116
Timothy Miller,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/185221
"Mr
                            Curtis Murray",,Honorary Fellow,Honorary staff,N/A
Humza Naseer,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/718900
Lida Rashidi,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/676939
Ellie Ripley,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/342668
Peter Seddon,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/12816
"Mr
                            Jurij Semkiw",,Honorary Senior Fellow,Honorary staff,N/A
Graeme Shanks,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/4529
Rob Sison,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/877887
Harald Sondergaard,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/13416
Peter Stuckey,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/14142
Yuan Sun,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/777387
Benjamin Tag,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/852535
Farbod Taymouri,Dr,Honorary Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/842916
"A/Prof
                            Peter Thorne",,Honorary Principal Fellow,Honorary staff,N/A
Christoph Treude,Dr,Honorary Principal Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/893490
Andrew Turpin,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/28732
Eduardo Velloso,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/710004
Karin Verspoor,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/458973
Tony Wirth,Prof,Honorary Professorial Fellow,Honorary staff,https://findanexpert.unimelb.edu.au/profile/51117
"A/Prof
                            Callum Wright",,Honorary Principal Fellow,Honorary staff,N/A
